identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct35,22,1998,Pey Casado and Allende Foundation v. Chile,Víctor Pey Casado and President Allende Foundation v. Republic of Chile,(ICSID Case No. ARB/98/2),Chile - Spain BIT (1991),Chile,Spain,Decided in favour of investor,Decision on Jurisdiction dated 8 May 2002,yes,.,.,yes,.,No investment stats available,2017,El Clarin newspaper,Expropriated by state,Still holds assets,0,"For details on the case, see Arnold & Porter LLP. “Arnold & Porter Obtains Victory for Republic of Chile in 15-Year Arbitration.” Arnold & Porter website. Accessed online at http://www.arnoldporter.com/news.cfm?type=press_release&action=view&id=498.","For reinvestment data, see Fundacion Salvador Allende. “Noticias y actividades 2014.” Fundacion Salvador Allende website. Accessed online at http://www.fundacionsalvadorallende.cl/",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct36,23,1998,Compagnie Minière v. Peru,Compagnie Minière Internationale Or S.A. v. Republic of Peru,(ICSID Case No. ARB/98/6),France - Peru BIT (1993),Peru,France,Settled,"Order taking note of the discontinuance of the proceeding issued by the Secretary-General dated 23 February 2001, pursuant to Arbitration Rule 43(1)",.,.,.,.,,,,,,,,"For reinvestment data, see BRGM. Annual Report 2006. BRGM website. Accessed online at http://www.brgm.eu/sites/default/brgm/publications/annual-report_2006/index.html#/1/.","For reinvestment data, see BRGM. Annual Report 2013. BRGM website. Accessed online at http://www.brgm.eu/sites/default/brgm/publications/annual-report_2013/index.html.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct37,24,1998,Loewen v. USA,"Loewen Group, Inc. and Raymond L. Loewen v. United States of America",(ICSID Case No. ARB(AF)/98/3),NAFTA,United States of America,Canada,Decided in favour of State,Decision on Hearing of Respondent's Objection to Competence and Jurisdiction dated 5 January 2001,yes,yes,.,no,"2,372,428,000","Total assets of Alderwood Group, 2005. Loewen Group went bankrupt and restructured as Alderwoods Group, which operated until 2006",2006,Loewen Group,No transfer,Acquired by Service Corporation International (American firm) in 2006,0,"For reinvestment data, see The Loewen Group, Inc. Form 10-K for the fiscal year ended December 31, 1998. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see The Loewen Group, Inc. Form 10-K for the fiscal year ended December 31, 2001. Retrieved from SEC EDGAR website. Accessed online at https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000845577&type=10-K&dateb=&owner=exclude&count=40.",For reinvestment data see: http://getfilings.com/o0001047469-05-007985.html,.,.,.,.,.,.,noncompliance: Firm asked US District Court to vacate and set aside the award. Reinvst: bankrupt as of 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct38,25,1998,Olguin v. Paraguay,Eudoro Armando Olguín v. Republic of Paraguay,(ICSID Case No. ARB/98/5),Paraguay - Peru BIT (1994),Paraguay,Peru,Decided in favour of State,Decision on Jurisdiction dated 8 August 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct39,26,1998,Waste Management v. Mexico (I),"Waste Management, Inc. v. United Mexican States (I)",(ICSID Case No. ARB(AF)/98/2),NAFTA,Mexico,United States of America,Decided in favour of State,Arbitral Award dated 2 June 2000,.,no,no,no,,,,,,,,"For reinvestment data, see Waste Management, Inc. 2006 Annual Report. Waste Management website. Accessed online at http://investors.wm.com/phoenix.zhtml?c=119743&p=irol-reportsannual.","For reinvestment data, see Waste Management, Inc. 2013 Annual Report. Waste Management website. Accessed online at http://investors.wm.com/phoenix.zhtml?c=119743&p=irol-reportsannual.","For reinvestment data, see Waste Management, Inc. 2014 Annual Report. Waste Management website. Accessed online at http://investors.wm.com/phoenix.zhtml?c=119743&p=irol-reportsannual.",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct40,27,1998,Houston Industries v. Argentina,"Houston Industries Energy, Inc. and others v. Argentine Republic",(ICSID Case No. ARB/98/1),Argentina - United States of America BIT (1991),Argentina,United States of America,Data not available,Award dated 24 August 2001,yes,yes,.,.,15000000,Total Argentine assets as of 2003,2003,Unclear (some type of concession agreement),Unclear,Divested in 2003,1,"For reinvestement data, see CenterPoint Energy, Inc. Form 10-K for the fiscal year ended December 31, 2003. CenterPoint Energy website. Accessed online at http://investors.centerpointenergy.com/secfiling.cfm?filingID=950129-04-1267&CIK=1130310.","For reinvestment data, see CenterPoint Energy, Inc. Form 10-K for the fiscal year ended December 31, 2004. CenterPoint Energy website. Accessed online at http://investors.centerpointenergy.com/secfiling.cfm?filingID=950129-05-2466&CIK=1130310.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct41,28,1998,Lemire v. Ukraine (I),Joseph Charles Lemire v. Ukraine (I),(ICSID Case No. ARB(AF)/98/1),Ukraine - United States of America BIT (1994),Ukraine,United States of America,Settled,Award (embodying the parties' agreement) dated 18 September 2000,.,.,.,.,,,,,,,,"For case details, see Johnson, Lise. “Majority tribunal defends decision in Lemire v. Ukraine,” Investment Treaty News, the International Institute for Sustainable Development, 12 July 2011. Accessed online at http://www.iisd.org/itn/2011/07/12/awards-and-decisions-4/",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct42,29,1998,Wena Hotels v. Egypt,Wena Hotels Ltd. v. Arab Republic of Egypt,(ICSID Case No. ARB/98/4),Egypt - United Kingdom BIT (1975),Egypt,United Kingdom,Decided in favour of investor,Decision on Jurisdiction dated 29 June 1999,.,no,.,.,,,,,,,,"For reinvestment data, see Drummond, James. “Middle East & Africa: Settlement near in hotel group's Egypt dispute,” Financial Times, 12 December 2000, p. 5, via LexisNexis Academic. Accessed online.","For reinvestment data, see “The Pitfalls Of Investing In Middle East`s Emerging Markets,” CNN Money Morning, 25 February 2003. Accessed online.","For reinvestment data, see ""Decision (Annulment Proceeding)."" Issued 5 February, 2002. Accessed via ITALaw website at https://www.italaw.com/cases/1162.",.,.,.,.,.,.,"Source3 indicates that although Wena hotels were returned in 1992, they closed in 1995 and 1997 and have not been returned as of yet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct47,30,1999,Mitchell v. Congo,Patrick Mitchell v. Democratic Republic of the Congo,(ICSID Case No. ARB/99/7),"Congo, Democratic Republic of the - United States of America BIT (1984)","Congo, Democratic Republic of the",United States of America,Decided in favour of investor,Final Award dated 9 February 2004,.,.,.,.,,,,,,,,"For details on case, see 'ISCID award annulled because claimant's business did not constitute an investment' http://www.lexology.com/library/detail.aspx?g=10c1807e-2a45-43f3-ba83-670c3d54785b. Accessed online","For details on case, see 'NAFTA - Chapter 11 - Investment'  http://www.international.gc.ca/trade-agreements-accords-commerciaux/topics-domaines/disp-diff/parcel.aspx?lang=eng. Accessed online.",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct48,31,1999,Alimenta S.A. v. Gambia,Alimenta S.A. v. Republic of The Gambia,(ICSID Case No. ARB/99/5),Gambia - Switzerland BIT (1993),Gambia,Switzerland,Settled,"Order taking note of discontinuance of the proceeding issued by the Arbitral Tribunal dated 3 May 2001, pursuant to Arbitration Rule 43(1)",.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
