identifier,Url Number,Year,Short Title,Long Title,Case Number,Applicable IIA,Respondent State(s),Home State(s) of investor,Status/Outcome of original proceedings,Award 1,reinvst,reinvst_stay,reinvst_return,reinvst_2015,reinvst_amt,reinvst_notes,reinvst_mostrecent,isds_investment_description,isds_investment_after,all_investment_after,exodus,source1,source2,source3,source4,source5,source6,source7,source8,source9,sourcenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct49,32,1999,Pope & Talbot v. Canada,Pope & Talbot v. Government of Canada,N/A,NAFTA,Canada,United States of America,Decided in favour of investor,Interim Award dated 26 June 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct50,33,1999,Feldman v. Mexico,Marvin Roy Feldman Karpa v. United Mexican States,(ICSID Case No. ARB(AF)/99/1),NAFTA,Mexico,United States of America,Decided in favour of investor,Award of the Tribunal dated 16 December 2002,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct51,34,1999,Empresa Nacional de Electricidad v. Argentina,Empresa Nacional de Electricidad S.A. v. Argentine Republic,(ICSID Case No. ARB/99/4),Argentina - Chile BIT (1991),Argentina,Chile,Discontinued,"Order taking note of the discontinuance issued by the Tribunal dated 7 February 2001, pursuant to Arbitration Rule 44",yes,yes,.,yes,185064723,Total Argentine assets as of 2015,2017,Unclear (some type of concession agreement),Unclear,Divestment in process,1,"For reinvestment data, see “Empresa Nacional de Electricidad S.A. (Chile), 26 September 2015.” Standard & Poor's Corporate Descriptions plus News via LexisNexis Academic. Accessed Online.","For reinvestment data, see “Empresa Nacional de Electricidad S.A., 15 November 2013.”  ICD Research - Locations and Subsidiaries via LexisNexis Academic. Accessed Online.","For reinvestment data, see ""Annual Report Endesa 2000."" Enel Website. Accessed Online via http://www.enelgeneracion.cl/EN/ACCIONISTAS/INFOANUAL/Paginas/memorias.aspx.",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct52,35,1999,Lauder v. Czech Republic,Ronald S. Lauder v. Czech Republic,N/A,Czech Republic - United States of America BIT (1991),Czech Republic,United States of America,Decided in favour of neither party (liability found but no damages awarded),Award dated 3 September 2001,yes,.,.,yes,842716000,Total Czech assets as of 12/31/2017,2017,TV Nova (television station),No transfer,Still holds assets,0,"For reinvestment data, see Form 10-Q. Central European Media Enterprises, LTD. Issued 27 October 2015. Accessed online at http://www.cetv-net.com/investors/sec-and-pse-filings/.","For reinvestment data, see Luke Peterson. ""CANCELLED HUNGARIAN CASINO PROJECT LEADS TO ARBITRATION CLAIM BY CYPRIOT COMPANY; INVESTORS IN PROJECT INCLUDE U.S. BILLIONAIRE RONALD LAUDER."" IA Reporter 16 August 2011. Accessed online at https://www.iareporter.com/articles/cancelled-hungarian-casino-project-leads-to-arbitration-claim-by-cypriot-company-investors-in-project-include-u-s-billionaire-ronald-lauder/.","For reinvestment data, see Form 10-K Annual Report 2015 for Central European Media Enterprises LTD. Accessed online at http://s2.q4cdn.com/384102709/files/doc_financials/annual_reports/CETV-12-31-2014-10K.pdf.","For reinvestment data, see http://www.annualreports.com/HostedData/AnnualReports/PDF/NASDAQ_CETV_2017.pdf",.,.,.,.,.,"Source 2 identifies Ronald Lauder as a shareholder in Central European Media Enterprises in 2011. Source 1 describes CME investments in Czech Slovokia. Source3 denotes specific investments in Czech Republic by CME, and identifies Ronald Lauder as involved in the company by at least 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct53,36,1999,Swembalt v. Latvia,"Swembalt AB, Sweden v. The Republic of Latvia",N/A,Latvia - Sweden BIT (1992),Latvia,Sweden,Decided in favour of investor,Decision by the Court of Arbitration (Award) dated 23 October 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct54,37,1999,Gruslin v. Malaysia (II),Philippe Gruslin v. Malaysia (II),(ICSID Case No. ARB/99/3),BLEU (Belgium-Luxembourg Economic Union) - Malaysia BIT (1979),Malaysia,Belgium,Decided in favour of State,Award dated 27 November 2000,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct55,38,1999,Mobil Argentina v. Argentina,Mobil Argentina S.A. v. Argentine Republic,(ICSID Case No. ARB/99/1),Argentina - United States of America BIT (1991),Argentina,United States of America,Discontinued,"Order taking note of the discontinuance issued by the Secretary-General dated 21 July 1999, pursuant to Arbitration Rule 44",yes,yes,.,yes,72000000,Total Argentine assets as of 12/31/2017,2017,YPF (Oil company),Expropriated by state,Still holds assets,1,"For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 1999. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2000. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2002. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2004. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2006. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2008. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2010. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see Exxon Mobil, Corp. Form 10-K for For the fiscal year ended December 31, 2012. Retrieved from SEC EDGAR website. Accessed online.","For reinvestment data, see https://ir.exxonmobil.com/static-files/7ed6ad4d-1cf0-4328-817c-2e0844d382b6",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct56,39,1999,Methanex v. USA,Methanex Corporation v. United States of America,N/A,NAFTA,United States of America,Canada,Decided in favour of State,Partial Award dated 7 August 2002,yes,yes,.,yes,1412394000,"Value of U.S. plant/property/equipment, 12/31/2017",2017,Methanex USA,No transfer,Still holds assets,0,"For reinvestment data, see ""2015 Annual Report."" Methanex Website. Accessed online at https://www.methanex.com/sites/default/files/Full%20AR%20Methanex.pdf.","For reinvestment data, see ""2006 Annual Report."" Methanex Website. Accessed online at https://www.methanex.com/sites/default/files/investor/annual-reports/Methanex-2006-Annual-Report.pdf.",.,.,.,.,.,.,.,Source2: scaled down operations in 2006 but continued export production in US.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct57,40,1999,Mondev v. USA,Mondev International Ltd. v. United States of America,(ICSID Case No. ARB(AF)/99/2),NAFTA,United States of America,Canada,Decided in favour of State,Award dated 11 October 2002,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct58,41,1999,Genin v. Estonia,"Alex Genin, Eastern Credit Limited, Inc. and A.S. Baltoil v. The Republic of Estonia",(ICSID Case No. ARB/99/2),Estonia - United States of America BIT (1994),Estonia,United States of America,Decided in favour of State,Award dated 25 June 2001,.,.,.,NA,,,,,,,,"For case details, see ITA Law  award details. Accessed online at: https://www.italaw.com/sites/default/files/case-documents/ita0359.pdf",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct59,42,1999,Middle East Cement v. Egypt,Middle East Cement Shipping and Handling Co. v. Arab Republic of Egypt,(ICSID Case No. ARB/99/6),Egypt - Greece BIT (1993),Egypt,Greece,Decided in favour of investor,Award dated 12 April 2002,.,.,.,.,,,,,,,,"For reinvestment data, see ""Middle East Cement Shipping and Handling Co. S.A. v. Arab Republic of Egypt, ICSID Case No. ARB/99/6: Award."" Issued 12 April, 2002. Accessed via ITALaw website at https://www.italaw.com/cases/699.",.,.,.,.,.,.,.,.,"Source1: ""Claimant declined to resume its activity when that was offered to it.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct60,43,1999,Link Trading v. Moldova,Link-Trading Joint Stock Company v. Department for Customs Control of the Republic of Moldova,N/A,"Moldova, Republic of - United States of America BIT (1993)","Moldova, Republic of",United States of America,Decided in favour of State,Award on Jurisdiction dated 16 February 2001,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct64,44,2000,Yaung Chi v. Myanmar,Yaung Chi OO Trading Pte Ltd. v. Government of the Union of Myanmar (ASEAN I.D. Case No. ARB/01/1),N/A,ASEAN Investment Agreement (1987),Myanmar,Singapore,Decided in favour of State,Award dated 31 March 2003,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct65,45,2000,Tecmed v. Mexico,Técnicas Medioambientales Tecmed v. United Mexican States,(ICSID Case No. ARB(AF)/00/2),Mexico - Spain BIT (1995),Mexico,Spain,Decided in favour of investor,Award dated 29 May 2003,yes,.,.,yes,44181737,"Can't find any info on investments in Tecmed, total assets, et cetera. This figure represents the price that ACS Group sold Tecmed for in 2015. ",2018,Cytrar hazardous waste landfill,Expropriated by state,"Acquired by ACS Group, then by Firion Investments (a Chinese firm)",0,"For reinvestment data, see “Actividades de Construccion y Servicios S.A., 28 November 2013.” GlobalData – Locations and Subsidiaries via LexisNexis Academic. Accessed Online.","For reinvestment data, see “Company overview: Dragados OffShore S.A., 29 July 2015.” GlobalData via LexisNexis Academic. Accessed Online.","For reinvestment data, see Tecmed. “TECMED, Técnicas Medioambientales de México S.A. de C.V.” Tecmed website. Accessed online at http://www.tecmedmx.com/.","For reinvestment data, see https://www.grupoacs.com/ficheros_editor/File/03_accionistas_inversores/03_informe_anual/2015/economic_and_financial_report_of_acs_group_2015.pdf",.,.,.,.,.,Source1-2: Parent company active.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct66,46,2000,Sancheti v. Germany,Ashok Sancheti v. Germany,N/A,Germany - India BIT (1995),Germany,India,Settled,Data not available,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct67,47,2000,UK Bank v. Russia,UK Bank v. Russian Federation,N/A,Russian Federation - United Kingdom BIT (1989),Russian Federation,United Kingdom,Settled,Data not available,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct68,48,2000,Eastern Company v. Lebanon,Eastern Company v. Lebanon,N/A,Egypt - Lebanon BIT (1996),Lebanon,Egypt,Data not available,Award dated 6 June 2002,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct69,49,2000,RFCC v. Morocco,Consortium R.F.C.C. v. Kingdom of Morocco,(ICSID Case No. ARB/00/6),Italy - Morocco BIT (1990),Morocco,Italy,Decided in favour of State,Decision on Jurisdiction dated 16 July 2001,.,.,.,.,,,,,,,,"For details on the case, see Consortium R.F.C.C. v. The Kingdom of Morocco, case excerpts, ICSID, 18 January 2006, ARB/00/6. Accessed online via DeepDyve.",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct70,50,2000,Salini v. Morocco,Salini Costruttori S.p.A. and Italstrade S.p.A. v. Kingdom of Morocco,(ICSID Case No. ARB/00/4),Italy - Morocco BIT (1990),Morocco,Italy,Settled,Decision on Jurisdiction dated 23 July 2001,yes,.,.,yes,855392,Value of Moroccan assets at the begininng of liquidation process in 2013 - investment was liquidated over the course of 2 years,2015,Contract to construct Rabat-Fes highway,No transfer,Divested in 2015,0,"For reinvestment data, see “Salini Costruttori SpA, 2 May 2014.” GlobalData – Key Facts via LexisNexis Academic. Accessed Online.","For reinvestment data, see “SALINI COSTRUTTORI S.P.A. FINANCIAL STATEMENTS AT 31 DECEMBER 2010 DIRECTORS' REPORT.” 31 Dec. 2010, www.salini-impregilo.com/static/upload/sal/salini-costruttori-spa_financial-statements-2010.pdf.
",For reinvestment data see https://www.salini-impregilo.com/static/upload/sal/salini-spa_annual-report-as-at-31-december-2013/salini-spa_annual-report-as-at-31-december-2013.pdf,For reinvestment data see https://www.salini-impregilo.com/static/upload/rel/relazione-finanziaria-annuale-al-31-dicembre-2015/relazione-finanziaria-annuale-al-31-dicembre-2015.pdf,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct71,51,2000,UPS v. Canada,"United Parcel Service of America, Inc. (UPS) v. Government of Canada",(ICSID Case No. UNCT/02/1),NAFTA,Canada,United States of America,Decided in favour of State,Award on the Merits dated 24 May 2007,yes,yes,.,.,500000000,"This figure represents UPS' latest investment in Canada, which will expand their facilities and upgrade their fleet. UPS doesn't seem to disaggregate its financials by geographic region or subsidiary; therefore, I can't find any figures on the total investment in/assets held by UPS Canada.",2018,UPS Canada,No transfer,Still holds assets,0,"For details on investment, see 'UPS Canada Factsheet'  https://www.ups.com/ca/en/about/facts/canada.page. Accessed online","For details on case, see 'NAFTA - Chapter 11 - Investment'  http://www.international.gc.ca/trade-agreements-accords-commerciaux/topics-domaines/disp-diff/parcel.aspx?lang=eng. Accessed online.","For reinvestment data, see https://www.pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1521646219135-594",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct72,52,2000,CME v. Czech Republic,CME Czech Republic B.V. v. The Czech Republic,N/A,Czech Republic - Netherlands BIT (1991),Czech Republic,Netherlands,Decided in favour of investor,Partial Award dated 13 September 2001,yes,.,.,yes,"842,716,000",Total Czech assets as of 12/31/2017,2018,TV Nova (television station),No transfer,Still holds assets,0,"For reinvestment data, see Form 10-Q. Central European Media Enterprises, LTD. Issued 27 October 2015. Accessed online at http://www.cetv-net.com/investors/sec-and-pse-filings/.","For reinvestment data, see http://d18rn0p25nwr6d.cloudfront.net/CIK-0000925645/f12f5640-f38b-441f-8715-3d84f02f696f.pdf",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct73,53,2000,ADF v. USA,ADF Group Inc. v. United States of America,(ICSID Case No. ARB(AF)/00/1),NAFTA,United States of America,Canada,Decided in favour of State,Award dated 9 January 2003,yes,yes,.,yes,35578377,Total non-current US assets as of 12/31/2017,2018,Construction of Springfield Interchange Project,No transfer,Still holds assets,0,"For reinvestment data, see ADF Group, Inc. Annual Report 2014. ADF Group website. Accessed online at http://www.adfgroup.com/wp-content/uploads/2014/05/ADF-2014_Annual-Report-Complete-Web.pdf.","For reinvestment data, see JAN RAVENSBERGEN ""ADF hit hard by construction slump"" (8 April 2003) accessed online via Factiva at https://global-factiva-com.ezproxy.lib.utexas.edu/redir/default.aspx?P=sa&an=MTLG000020031220dz4800msl&cat=a&ep=ASE",.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct74,54,2000,Waste Management v. Mexico (II),Waste Management v. United Mexican States (II),(ICSID Case No. ARB(AF)/00/3),NAFTA,Mexico,United States of America,Decided in favour of State,"Mexico’s Preliminary Objection concerning the Previous Proceedings, Decision of the Tribunal dated 26 June 2002",.,no,no,no,,,,,,,,.,.,.,.,.,.,.,.,.,2006 annual report stated that WM sold their share in their Mexican joint venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct75,55,2000,Mihaly v. Sri Lanka,Mihaly International Corporation v. Democratic Socialist Republic of Sri Lanka,(ICSID Case No. ARB/00/2),Sri Lanka - United States of America BIT (1991),Sri Lanka,United States of America,Decided in favour of State,Award dated 15 March 2002,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct76,56,2000,Generation Ukraine v. Ukraine,Generation Ukraine v. Ukraine,(ICSID Case No. ARB/00/9),Ukraine - United States of America BIT (1994),Ukraine,United States of America,Decided in favour of State,Award dated 16 September 2003,.,.,.,.,,,,,,,,"For case details, see Ukrainian news ""CABINET ALLOCATES UAH 1.3 MILLION TO ECONOMICS MINISTRY FOR LEGAL BATTLE WITH UNITED STATES' GENERATION UKRAINE INC."" (16 September 2001) accessed online at https://global-factiva-com.ezproxy.lib.utexas.edu/redir/default.aspx?P=sa&an=ukrnew0020010917dx9g0000r&cat=a&ep=ASE ",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct82,57,2001,Saluka v. Czech Republic,Saluka Investments BV v. The Czech Republic,N/A,Czech Republic - Netherlands BIT (1991),Czech Republic,Netherlands,Settled,Decision on Jurisdiction over the Czech Republic's Counterclaim dated 7 May 2004,.,.,.,.,,,,,,,,"For reinvestment data, see Form 20-F, Annual Report 2006 for Nomura Holdings, Inc. Accessed online at http://www.nomuraholdings.com/investor/library/sec/#sec01.","For reinvestment data, see Ridhi Kabra. ""LOOKING BACK: SALUKA V. CZECH REPUBLIC TRIBUNAL CONSIDERED JURISDICTION OVER COUNTERCLAIMS, AND DECLINED TO HOLD CLAIMANT ACCOUNTABLE FOR ALLEGED MISDEEDS OF PARENT COMPANY."" IA Reporter, 3 April 2017. Accessed online at https://www.iareporter.com/articles/looking-back-saluka-v-czech-republic-tribunal-considered-jurisdiction-over-counterclaims-and-declined-to-hold-claimant-accountable-for-alleged-misdeeds-of-parent-company/.",.,.,.,.,.,.,.,Saluka is identified as a subsidiary of Nomura company in Source2. Nomura states that their interest in IPB (the bank involved in the case) was entirely transferred to a Czech company in 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct83,58,2001,Noble Ventures v. Romania,"Noble Ventures, Inc. v. Romania",(ICSID Case No. ARB/01/11),Romania - United States of America BIT (1992),Romania,United States of America,Decided in favour of State,Award dated 12 October 2005,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct84,59,2001,Goetz v. Burundi (II),Antoine Goetz and others v. Republic of Burundi (II),(ICSID Case No. ARB/01/2),BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Burundi,Belgium,Decided in favour of investor,Award dated 21 June 2012,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct85,60,2001,Nykomb v. Latvia,Nykomb Synergetics Technology Holding AB v. The Republic of Latvia,N/A,The Energy Charter Treaty (1994),Latvia,Sweden,Decided in favour of investor,Arbitral Award dated 16 December 2003,yes,yes,.,.,.,Can't find any info at all. Nykomb has no web presence and no tax filings that I can find.,.,SIA Windau (Construction firm),Unclear,Unclear,.,"For details on case, see 'Case summary: Nykomb v Latvia' http://isdsblog.com/2016/04/29/case-summary-nykomb-v-latvia/. Accessed online.","For details on case, see 'Latvia lost lawsuit against ""Nykomb"" - LNT.' https://global-factiva-com.ezproxy.lib.utexas.edu/ga/default.aspx. Acessed online.","For reinvestment data, see “Windau Power Plant.” Global.factiva.com, Baltic News Service, 28 Oct. 2004, global.factiva.com/redir/default.aspx?P=sa&an=BALDAI0020041124e0as000cg&cat=a&ep=ASE.
",.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct86,61,2001,Azurix v. Argentina (I),Azurix Corp. v. The Argentine Republic (I),(ICSID Case No. ARB/01/12),Argentina - United States of America BIT (1991),Argentina,United States of America,Decided in favour of investor,Decision on Jurisdiction dated 8 December 2003,.,no,no,no,,,,,,,,"For compliance data, see Peterson, Luke Eric. “After Settling Some Awards Argentina Takes More Fractious Path in Bond Holders Case with New Bid to Disqualify Arbitrators” Investment Arbitration Reporter, 30 December 2013. Accessed online.","For reinvestment data, see “Azurix Corp., August 2015.” Zoom Company Information via LexisNexis Academic. Accessed Online.","For reinvestment data, see Enron Corp. Form 10-K for For the fiscal year ended December 31, 2000. Retrieved from SEC EDGAR website. Accessed online.",.,.,.,.,.,.,Source3: Was an Enron subsidary. Source2: company website and phone number are unresponsive. 10-K 2000 (source 3) speficies that company is Enron subsidiary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
