filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2009,2013,DZA,DNK,n.a.,n.a.,n.a.,n.a.,"Maersk Olie, Algeriet A/S v. People's Democratic Republic of Algeria",ICSID,ARB/09/14,Denmark-Algeria BIT,Oil and gas,OIL,Over US$11b,11000,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2008,DZA,ITA,n.a.,n.a.,n.a.,n.a.,LESI SpA & Astaldi SpA v. People's Democratic Republic of Algeria,ICSID,ARB/05/3,Algeria-Italy BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2003,2005,DZA,ITA,n.a.,n.a.,n.a.,n.a.,Consortium Groupement L.E.S.I. - DIPENTA v. Algeria,ICSID,ARB/03/8,Algeria-Italy BIT,Electric power concession (hydro),UTL,Approximately US$100m,100,yes,state,0,0,no,n.a.,n.a.,n.a.
2009,2012,ECU,USA,n.a.,n.a.,n.a.,n.a.,"Ulysseas, Inc v Ecuador ",PCA,n.a.,Ecuador-United States BIT,Electric power concession,UTL,"US$35m (offer of compensation, approximately US$2m, not acceptable to investor)",35,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2006,2011,ECU,USA,n.a.,n.a.,n.a.,n.a.,Chevron Corporation & Texaco Petroleum Corporation v. Republic of Ecuador ,PCA,34877,Ecuador-United States BIT,Oil and gas (exploration),OIL,Up to US$553m plus interest ,553,yes,investor,"Award enumerated in two parts: US$77.74m and $18.62m in pre-award interest, plus post-award interest (each party to pay their legal costs and split the costs of arbitration)",96.4,n.a.,n.a.,n.a.,n.a.
2011,pending,ECU,CAN,n.a.,n.a.,n.a.,n.a.,Zamora Gold v. Ecuador,UNCITRAL,n.a.,Canada-Ecuador BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,ECU,CAN,n.a.,n.a.,n.a.,n.a.,Copper Mesa v. Ecuador,PCA,2012-2,Canada-Ecuador BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ECU,ECU,PAN,CYM,n.a.,n.a.,"Ecuador TLC S.A., Cayman International Exploration Company S.A., Teikoku Oil Ecuador v. Ecuador, Secretaria de Hidrocarburos del Ecuador, Empresa Publica de Hidrocarburos del Ecuador EP Petroecu",PCA,2014-32,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,pending,ECU,FRA,n.a.,n.a.,n.a.,n.a.,Perenco Ecuador Limited v. Republic of Ecuador & Empresa Estatal Petr—leos del Ecuador (Petroecuador) ,ICSID,ARB/08/6,Ecuador-France BIT,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,ECU,USA,n.a.,n.a.,n.a.,n.a.,Chevron Corporation and Texaco Petroleum Corporation v. The Republic of Ecuador ,PCA,2009-23,Ecuador-United States BIT,Oil and gas,OIL,At least US$18b (per amended claim in 2010),1800,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,pending,ECU,USA,n.a.,n.a.,n.a.,n.a.,"Burlington Resources, Inc., et al v. Republic of Ecuador & Empresa Estatal Petr—leos del Ecuador (Petroecuador) ",ICSID,ARB/08/5,"Ecuador-United States BIT, Contract",Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,ECU,USA,n.a.,n.a.,n.a.,n.a.,Merck v. Ecuador ,PCA,AA 442,United States-Ecuador BIT,Pharmaceuticals enterprise,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2006,ECU,CAN,n.a.,n.a.,n.a.,n.a.,Encana v. Ecuador ,LCIA,UN3481,Canada-Ecuador BIT,Oil and gas (exploration),OIL,Approximately CAD100 million,70,yes,state,Respondent to pay Claimant sums it has deposit with the LCIA  in connection with the costs of the arbitration (in the amount of US$330267.44). Each party shall bear its own legal costs.,0,n.a.,n.a.,n.a.,n.a.
2009,2014,ECU,BOL,n.a.,n.a.,n.a.,n.a.,Global Net-Unete Telecomunicaciones S.A. and Clay Pacific S.R.L. v. Republic of Ecuador,UNCITRAL,n.a.,Bolivia-Ecuador BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2010,ECU,CAN,n.a.,n.a.,n.a.,n.a.,"Corporacion Quiport SA, et al v. Republic of Ecuador",ICSID,ARB/09/23,Contract with host state,Airport,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,ECU,USA,n.a.,n.a.,n.a.,n.a.,City Oriente Limited v. Republic of Ecuador & Empresa Estatal Petr—leos del Ecuador (Petroecuador) ,ICSID,ARB/06/21,Contract with host state,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,ECU,ESP,n.a.,n.a.,n.a.,n.a.,"Repsol YPF Ecuador SA, et al v. Republic of Ecuador & Empresa Estatal Petr—leos del Ecuador (PetroEcuador) ",ICSID,ARB/08/10 ,Ecuador-Spain BIT ,Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,ECU,ESP,n.a.,n.a.,n.a.,n.a.,"T_cnicas Reunidas, SA & Eurocontrol SA v. Republic of Ecuador",ICSID,ARB/06/17,Ecuador-Spain BIT ,Oil and gas,OIL,Approximately US$35m,35,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2004,ECU,USA,n.a.,n.a.,n.a.,n.a.,IBM World Trade Corp. v. Republic of Ecuador ,ICSID,ARB/02/10,Ecuador-United States BIT,Software,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,ECU,USA,n.a.,n.a.,n.a.,n.a.,Noble Energy Inc. & Machala Power C’a. Ltd. v. Republic of Ecuador & Consejo Nacional de Electricidad ,ICSID,ARB/05/12,"Ecuador-United States BIT, Contract",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2004,ECU,USA,n.a.,n.a.,n.a.,n.a.,Occidental Exploration and Production Company v. Republic of Ecuador ,LCIA,UN3467,Ecuador-United States BIT,Oil and gas (exploration),OIL,"US$201,563,930",201.6,yes,investor,"US$71533649, plus simple interest (of US$3541280 to 1 January 2004), plus simple interest (of 2.75% to date of award). Each party to pay their legal fees. Respondent to pay 55% of Claimant's cost of arbitration.",75.1,n.a.,n.a.,n.a.,n.a.
2008,2010,ECU,USA,n.a.,n.a.,n.a.,n.a.,Murphy Exploration and Production Company International v. Republic of Ecuador ,ICSID,ARB/08/4,Ecuador-United States BIT,Oil and gas,OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2009,ECU,USA,n.a.,n.a.,n.a.,n.a.,Empresa Electrica del Ecuador Inc. (Emelec) v. Republic of Ecuador ,ICSID,ARB/05/9,Ecuador-United States BIT,Electric power concession,UTL,US$1116491000,1100,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2008,ECU,USA,n.a.,n.a.,n.a.,n.a.,Duke Energy Electroquil Partners & Electroquil SA v. Republic of Ecuador,ICSID,ARB/04/19,"Ecuador-United States BIT, Contract",Electric power concession,UTL,"Approximately US$25m, plus costs",25,yes,investor,"US$5578566, plus simple interest",5.6,no,n.a.,n.a.,n.a.
2003,2007,ECU,USA,n.a.,n.a.,n.a.,n.a.,"MCI Power Group, LC & New Turbine, Inc. v. Republic of Ecuador ",ICSID,ARB/03/6,Ecuador-United States BIT,Electric power concession,UTL,unknown,unknown,yes,state,0,0,yes,2007,2009,upheld
2007,2012,ECU,USA,n.a.,n.a.,n.a.,n.a.,Occidental Petroleum Corporation and Occidental Exploration and Production Company v. The Republic of Ecuador,ICSID,ARB/06/11,Ecuador-United States BIT,Oil and gas (exploration),OIL,US$1b,1000,yes,investor,"US$1,769,625,000, plus pre-award interest (4.188% per year) from 16 May 2006 until date of award, plus post-award interest (costs split evenly)",1769.6,yes,2012,pending,pending
2001,2004,ECU,ESP,n.a.,n.a.,n.a.,n.a.,Repsol YPF Ecuador SA v. Republic of Ecuador and Empresa Estatal Petr—leos del Ecuador (PetroEcuador),ICSID,ARB/01/10,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,investor,US$13684279.23,13.7,yes,2004,2007,upheld
2013,pending,EGY,ITA,n.a.,n.a.,n.a.,n.a.,ASA International S.p.A. v. Arab Republic of Egypt,ICSID,ARB/13/23,Egypt-Italy BIT,Waste management,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,EGY,KWT,n.a.,n.a.,n.a.,n.a.,Bawabet Al Kuwait Holding Company v. Arab Republic of Egypt ,ICSID,ARB/11/6,Egypt-Kuwait BIT,Manufacturing (fertilizer),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,EGY,ESP,n.a.,n.a.,n.a.,n.a.,"Union Fenosa Gas, S.A. v. Arab Republic of Egypt",ICSID,ARB/14/4,Egypt-Spain BIT,Oil and gas (LNG),OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,EGY,ESP,n.a.,n.a.,n.a.,n.a.,Cementos La Union S.A. and Aridos Jativa S.L.U v. Arab Republic of Egypt,ICSID,ARB/13/29,Egypt-Spain BIT,Manufacturing (cement),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,EGY,GBR,n.a.,n.a.,n.a.,n.a.,Indorama International Finance Limited v. Arab Republic of Egypt  ,ICSID,ARB/11/32,Egypt-United Kingdom BIT,Textile enterprise,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,EGY,USA,DEU,n.a.,n.a.,n.a.,Ampal-American Israel Corporation and others v. Arab Republic of Egypt  ,ICSID,ARB/12/11,"Egypt-United States BIT, Egypt-Germany BIT",Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,EGY,FRA,n.a.,n.a.,n.a.,n.a.,Veolia Propret_ v. Arab Republic of Egypt ,ICSID,ARB/12/15,France-Egypt BIT,Waste management,SER,Û82m,101.8,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,EGY,DEU,n.a.,n.a.,n.a.,n.a.,Utsch M.O.V.E.R.S. International GmbH and others v. Egypt,ICSID,ARB/13/37,Germany-Egypt BITÊÊ,Manufacturing (license plates),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,EGY,JOR,n.a.,n.a.,n.a.,n.a.,Ossama Al Sharif v. Arab Republic of Egypt (3rd case),ICSID,ARB/13/5,Jordan-Egypt BIT,Port terminal conccession (bulk liquids),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,EGY,JOR,n.a.,n.a.,n.a.,n.a.,Ossama Al Sharif v. Arab Republic of Egypt (2nd case),ICSID,ARB/13/4,Jordan-Egypt BIT,Software,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,EGY,JOR,n.a.,n.a.,n.a.,n.a.,Ossama Al Sharif v. Arab Republic of Egypt (1st case),ICSID,ARB/13/3,Jordan-Egypt BIT,Port terminal concession,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,2014,EGY,ARE,n.a.,n.a.,n.a.,n.a.,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Republic of Egypt",ICSID,ARB/11/16,Egypt-United Arab Emirates BIT,Tourism,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2008,EGY,BELLUX,n.a.,n.a.,n.a.,n.a.,Jan de Nul NV & Dredging International NV v. Arab Republic of Egypt ,ICSID,ARB/04/13,Belgium & Luxembourg-Egypt BIT,Dredging operations,SER,Approximately US$70m,70,yes,state,0,0,no,n.a.,n.a.,n.a.
2011,2014,EGY,EGY,n.a.,n.a.,n.a.,n.a.,National Gas S.A.E. v. Arab Republic of Egypt,ICSID,ARB/11/7,Egypt-United Arab Emirates BIT,Oil and gas (distribution),OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2006,EGY,USA,n.a.,n.a.,n.a.,n.a.,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",ICSID,ARB/02/9,US-Egypt BIT,Agricultural enterprise (cotton),AGR,US$365m plus interest and costs ,365,yes,state,0,0,no,n.a.,n.a.,n.a.
1999,2002,EGY,GRC,n.a.,n.a.,n.a.,n.a.,Middle East Cement Shipping and Handling Co. v. Arab Republic of Egypt ,ICSID,ARB/99/6,Egypt-Greece BIT,Manufacturing (cement),MFG,US$42m plus compound interest,42,yes,investor,"US$2,190,430 awarded plus US$1,558,970 in compound interest up to date of award, plus interest at 6% compounded annually until payment; legal fees unclear (award in French)",2.2,no,n.a.,n.a.,n.a.
2005,2008,EGY,DNK,n.a.,n.a.,n.a.,n.a.,Helnan International Hotels A/S v. Arab Republic of Egypt,ICSID,ARB/05/19,Denmark-Egypt BIT,Tourism (hotel),SER,Up to Û42m,50,yes,state,0,0,yes,2008,2010,partially overturned
2008,2011,EGY,GBR,n.a.,n.a.,n.a.,n.a.,Malicorp Limited v. Egypt,ICSID,ARB/08/18,Egypt-United Kingdom BIT,Airport,SER,unknown,unknown,yes,state,0,0,yes,2011,2013,upheld
2003,2004,EGY,GBR,n.a.,n.a.,n.a.,n.a.,Joy Mining Machinery Limited v. Arab Republic of Egypt,ICSID,ARB/03/11,Egypt-United Kingdom BIT,Mining (phosphate),MIN,"UK£2.5m, plus interest and the full value of the bank guarantees if not released",4.5,yes,state,0,0,yes,2005,2005,discontinued
2009,2012,EGY,USA,n.a.,n.a.,n.a.,n.a.,"H&H Enterprises Investments, Inc. v. Arab Republic of Egypt ",ICSID,ARB/09/15,United States-Egypt BIT,Tourism (resort),SER,unknown,unknown,yes,state,0,0,yes,2014,pending,pending
2002,2007,EGY,USA,n.a.,n.a.,n.a.,n.a.,"Ahmonseto Inc., et al v. Arab Republic of Egypt ",ICSID,ARB/02/15,Egypt-United States BIT,Textile enterprise,MFG,US$250m,250,yes,investor,unknown,unknown,yes,2007,2010,discontinued
1998,2000,EGY,GBR,n.a.,n.a.,n.a.,n.a.,Wena Hotels Ltd. v. Egypt,ICSID,ARB/98/4,Egypt-United Kingdom BIT,Tourism (hotel),SER,Not less than US$62820000,62.8,yes,investor,"US$20600986.43 including damages, interest, attorneys' fees and expenses",20.6,yes,2001,2002,upheld
2005,2009,EGY,ITA,n.a.,n.a.,n.a.,n.a.,Waguih Elie George Siag & Clorinda Vecchi v. Arab Republic of Egypt,ICSID,ARB/05/15,Egypt-Italy BIT,Tourism (resort),SER,unknown,unknown,yes,investor,US$74.5m plus interest and legal costs,74.5,yes,2009,2010,upheld
2013,pending,ESP,LUX,n.a.,n.a.,n.a.,n.a.,CSP Equity Investment Sarl v. Spain,SCC,n.a.,Energy Charter Treaty,Electric power concession (thermal/solar),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,ESP,NLD,n.a.,n.a.,n.a.,n.a.,Isolux Infrastructure Netherlands B.V. v. Spain,SCC,n.a.,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ESP,DEU,n.a.,n.a.,n.a.,n.a.,RWE Innogy GmbH and RWE Innogy Aersa S.A.U. v. Kingdom of Spain,ICSID,ARB/14/34,Energy Charter Treaty,Electric power concession (renewable),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ESP,LUX,n.a.,n.a.,n.a.,n.a.,RENERGY S.ar.l. v. Kingdom of Spain,ICSID,ARB/14/18,Energy Charter Treaty,Electric power concession (renewable),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ESP,GBR,n.a.,n.a.,n.a.,n.a.,InfraRed Environmental Infrastructure GP Limited and others  v. Kingdom of Spain ,ICSID,ARB/14/12,Energy Charter Treaty,Electric power concession (renewable),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ESP,NLD,n.a.,n.a.,n.a.,n.a.,NextEra Energy Global Holdings B.V. and NextEra Energy Spain Holdings B.V. v. Kingdom of Spain ,ICSID,ARB/14/11,Energy Charter Treaty,Electric power concession (renewable),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ESP,NLD,n.a.,n.a.,n.a.,n.a.,Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain,ICSID,ARB/14/1,Energy Charter Treaty,Electric power concession (renewable),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,ESP,GBR,BELLUX,n.a.,n.a.,n.a.,Eiser Infrastructure Limited and Energia Solar Luxembourg S.a r.l. v. Spain,ICSID,ARB/13/36,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,ESP,LUX,n.a.,n.a.,n.a.,n.a.,Antin Infrastructure Services Luxembourg S.ˆ.r.l. and Antin Energia Termosolar B.V. v. Kingdom of Spain,ICSID,ARB/13/31,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,ESP,DEU,n.a.,n.a.,n.a.,n.a.,RREEF Infrastructure (G.P.) Limited and others v. Spain,ICSID,ARB/13/30,Energy Charter Treaty,Electric power concession (wind),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,ESP,VEN,n.a.,n.a.,n.a.,n.a.,"Inversi—n y Gesti—n de Bienes, IGB, S.L. and IGB18 Las Rozas, S.L. v. Kingdom of Spain",ICSID,ARB/12/17,Spain-Venezuela BIT,Real estate,RE,Û25m,31,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1997,2000,ESP,ARG,n.a.,n.a.,n.a.,n.a.,Emilio Agustin Maffezini v. Kingdom of Spain ,ICSID,ARB/97/7,Argentina-Spain BIT,Manufacturing (chemical products),MFG,"Spanish Pesetas 30m, plus interest",0.1,yes,investor,"Spanish Pesetas 30 million awarded plus interest 27,641,265.28.  Total award was 57,641,265.28 Spanish Pesetas (equivalent to US$96,597), each party to pay their legal fees",0.05,no,n.a.,n.a.,n.a.
2014,pending,EST,NLD,n.a.,n.a.,n.a.,n.a.,AS Tallinna Vesi v. Estonia,ICSID,ARB/14/24,Estonia-Netherlands BIT,Water services concession,UTL,Û90m,120,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,EST,NLD,n.a.,n.a.,n.a.,n.a.,United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,ICSID,ARB/14/24,Netherlands-Estonia BIT,Water and sewage concession,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,2007,EST,NLD,USA,n.a.,n.a.,n.a.,"Rail World LLC, et al v. Republic of Estonia",ICSID,ARB/06/6,"Estonia-Netherlands BIT, Estonia-United States BIT ",Transportation (rail),UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2001,EST,USA,n.a.,n.a.,n.a.,n.a.,"Alex Genin, Eastern Credit Limited Inc v. Republic of Estonia ",ICSID,ARB/99/2,US-Estonia BIT,Banking,FIN,"Enumerated two claims: US$1639344, and between US$50m and US$70m for damages",51.6,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2007,EST,DEU,FIN,n.a.,n.a.,n.a.,OKO Osuuspankkien Keskuspankki Oyj and others v. Republic of Estonia ,ICSID,ARB/04/6,"Estonia-Germany BIT, Estonia-Finland BIT",Banking,FIN,At least US$4m and DEM21.9m,32,yes,investor,"Enumerate award in two parts: US$4.4m and Û8.3m, plus interest (Respondent to pay Claimant's legal costs and share of arbitration costs)",15.4,no,n.a.,n.a.,n.a.
1999,unknown,ETH,ITA,n.a.,n.a.,n.a.,n.a.,"Salini Costruttori SPA v. Federal Democratic Republic of Ethiopia, Addis Ababa Water and Sewerage Authority ",ICC,10623/AER/ACS,Contract with host state,Construction (dam and transmission lines),UTL,"US$26700000, plus interest and costs",26.7,yes,unknown,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2013,pending,FRA,TUR,n.a.,n.a.,n.a.,n.a.,Erbil Serter v. France,ICSID,ARB/13/22,France-Turkey BIT,Consulting services (ship hull design),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2007,FRA,FRA,GBR,n.a.,n.a.,n.a.,Eurotunnel Group v. France & United Kingdom,PCA,IIC 58,Treaty of Canterbury,Transportation (rail),UTL,US$1b,1000,yes,investor,unknown,unknown,no,n.a.,n.a.,n.a.
2008,2011,GAB,BELLUX,n.a.,n.a.,n.a.,n.a.,Participaciones Inversiones Portuarias SARL v. Gabon,ICSID,ARB/08/17,"Belgium & Luxembourg-Gabon BIT, Gabon Investment Law (1998)",Port terminal concession,SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2008,GAB,BELLUX,n.a.,n.a.,n.a.,n.a.,Compagnie d'Exploitation du Chemin de Fer Transgabonais v. Gabonese Republic ,ICSID,ARB/04/5,Contract with host state,Transportation (rail),UTL,unknown,unknown,yes,investor,unknown,unknown,yes,2008,2010,upheld
2006,pending,GBR,IND,n.a.,n.a.,n.a.,n.a.,Sancheti v. United Kingdom ,UNCITRAL,n.a.,India-United Kingdom BIT,Real estate,RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2012,GEO,GEO,n.a.,n.a.,n.a.,n.a.,Bidzina Ivanishvili v. Georgia ,ICSID,ARB/12/27,France-Georgia BIT,Banking,FIN,US$114.6 for full reparation plus moral damages,114.6,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2012,GEO,USA,n.a.,n.a.,n.a.,n.a.,iZEE v Georgia ,UNCITRAL,n.a.,Georgia-United States BIT,unknown,unknown,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2010,GEO,USA,NLD,n.a.,n.a.,n.a.,Itera International Energy LLC & Itera Group NV v. Georgia ,ICSID,ARB/08/7,"Georgia-United States BIT, Georgia-Netherlands BIT",Oil and gas (distribution),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2010,GEO,USA,NLD,n.a.,n.a.,n.a.,Itera International Energy LLC and Itera Group NV v. Georgia,ICSID,ARB/09/22,"United States-Georgia BIT, Netherlands-Georgia BIT",Oil and gas (distribution),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2003,GEO,IRL,n.a.,n.a.,n.a.,n.a.,Zhinvali Development Ltd. v. Republic of Georgia ,ICSID,ARB/00/1,Georgia Investment Law (1996),Electric power concession (hydro),UTL,US$26m,26,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,GEO,ITA,n.a.,n.a.,n.a.,n.a.,Ares International Srl and MetalGeo Srl v. Georgia,ICSID,ARB/05/23,Georgia-Italy BIT,Steel production,MFG,unknown,unknown,yes,investor,"US$90m, plus interest",90,no,n.a.,n.a.,n.a.
2008,2012,GEO,TUR,n.a.,n.a.,n.a.,n.a.,Karmer Marble Tourism Construction Industry & Commerce Limited Liability v. Georgia ,ICSID,ARB/08/19,Georgia-Turkey BIT,Highway construction project ,UTL,unknown,unknown,yes,investor,unknown,unknown,yes,2012,2013,discontinued
2005,2010,GEO,GRC,n.a.,n.a.,n.a.,n.a.,Ioannis Kardossopoulos v. Georgia,ICSID,ARB/05/18,"Georgia-Greece BIT, Energy Charter Treaty",Oil and gas,OIL,US$350m,350,yes,investor,"US$15.12m, plus interest and legal fees",15.1,yes,2010,2011,upheld
2007,2010,GEO,ISR,n.a.,n.a.,n.a.,n.a.,Ron Fuchs v. Republic of Georgia ,ICSID,ARB/07/15 [joined to ARB/05/18],Georgia-Israel BIT ,Oil and gas,OIL,Enumerated two claims: US$15.1m plus $3m,18,yes,investor,"US$15.12m, plus interest and legal fees",15.1,yes,2010,2011,discontinued
2003,2005,GHA,MYS,n.a.,n.a.,n.a.,n.a.,Telekom Malaysia v. Ghana,UNCITRAL,n.a.,Ghana-Malaysia BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1992,1994,GHA,GRC,n.a.,n.a.,n.a.,n.a.,Vacuum Salt Products Ltd. v. Republic of Ghana ,ICSID,ARB/92/1,Contract with host state,Mining (salt),MIN,"unknown (""damages, lost profits, and interest"")",unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2007,2010,GHA,DEU,n.a.,n.a.,n.a.,n.a.,Gustav F W Hamester GmbH & Co KG v. Republic of Ghana,ICSID,ARB/07/24,Germany-Ghana BIT ,Agricultural enterprise (cocoa),AGR,Over Û100m,144,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,pending,GIN,FRA,n.a.,n.a.,n.a.,n.a.,"Soci_t_ Civile Immobilière de Ga‘ta v. Republic of Guinea  
",ICSID,ARB/12/36,Guinea Investment Law (1987),Real estate (commercial),RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,GIN,FRA,n.a.,n.a.,n.a.,n.a.,Getma International and others v. Republic of Guinea,ICSID,ARB/11/29,Guinea Investment Law (1987),Port terminal concession,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GIN,ISR,n.a.,n.a.,n.a.,n.a.,BSG Resources Limited v. Republic of Guinea,ICSID,ARB/14/22,"Guinea Investment Law (1995, 1987)",Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2014,GIN,FRA,n.a.,n.a.,n.a.,n.a.,Soci_t_ Industrielle des Boissons de Guin_e v. Republic of Guinea,ICSID,ARB/12/8,"Guinean Investment Law (1987), Contract",Beverage production enterprise,MFG,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
