filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2008,2012,ARG,ITA,n.a.,n.a.,n.a.,n.a.,Impregilo SpA v. Argentine Republic,ICSID,ARB/08/14,Argentina-Italy BIT,Highway construction project ,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2014,ARG,ESP,n.a.,n.a.,n.a.,n.a.,"Repsol, S.A. and Repsol Butano, S.A. v. Argentine Republic  ",ICSID,ARB/12/38,Argentina-Spain BIT,Oil and gas,OIL,US$10bn,10000,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2009,ARG,ESP,n.a.,n.a.,n.a.,n.a.,Telef—nica SA v. Argentine Republic ,ICSID,ARB/03/20,Argentina-Spain BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,FRA,ESP,n.a.,n.a.,n.a.,"Aguas Cordobesas SA, Suez, and Sociedad General de Aguas de Barcelona SA v. Argentine Republic ",ICSID,ARB/03/18,"Argentina-Spain BIT, Argentina-France BIT",Water services concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,ESP,USA,n.a.,n.a.,n.a.,Gas Natural SDG SA v. Argentine Republic ,ICSID,ARB/03/10,"Argentina-Spain BIT, Argentina-US BIT",Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2004,ARG,GBR,n.a.,n.a.,n.a.,n.a.,United Utilities International Limited (UUIL) v Argentine Republic,UNCITRAL,n.a.,Argentina-United Kingdom BIT,Electric power concession,UTL,US$100m,100,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2012,ARG,GBR,n.a.,n.a.,n.a.,n.a.,Azurix v. Argentina (2nd case),ICSID,ARB/03/30,Argentina-United Kingdom BIT,Water and sewage concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,2000,ARG,USA,n.a.,n.a.,n.a.,n.a.,Lanco International Inc v. Argentine Republic ,ICSID,ARB/97/6,Argentina-United States BIT,Port terminal concession,SER,US$23m,23,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2012,ARG,USA,n.a.,n.a.,n.a.,n.a.,Asset Recovery Trust SA v. Argentine Republic ,ICSID,ARB/05/11,Argentina-United States BIT,Finance (asset recovery enterprise),FIN,US$13m plus interest,13,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2009,ARG,USA,n.a.,n.a.,n.a.,n.a.,CIT Group Inc. v. Argentine Republic ,ICSID,ARB/04/9,Argentina-United States BIT,Leasing enterprise,RE,US$120m,120,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,USA,n.a.,n.a.,n.a.,n.a.,Pan American Energy LLC & BP Argentina Exploration Company v. Argentine Republic ,ICSID,ARB/03/13 consolidated with ARB/04/8,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
